,l,r,des
2,40000,80000,"岗位职责：1、负责商品识别深度学习算法的核心模型研发；2、负责深度学习图像算法的开发与性能提升，负责下述研究课题中的一项或多项，包括但不限于：检测、分类、语义分割、实例分割等相关算法；3、推动算法在公司实际应用领域的性能优化和落地。 任职要求： 基本项：1、本科或以上学历，两年以上相关工作经验或研究经历；2、有物体检测、分类、语义分割、实例分割等深度学习经验；3、熟练掌握计算机视觉&机器学习的基本方法；4、较强的算法实现能力，熟练掌握 c/c++ /python 编程；5、算法基础扎实，掌握常见设计模式，具有良好代码风格和质量意识，能独立完成算法模块设计、开发和测试；6、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；7、良好的沟通能力和团队合作能力。优先项：1、有较强的研究能力者优先，例如在国际顶尖会议或期刊（包括但不限于cvpr, iccv, eccv, nips, icml, aaai, tpami, ijcv等）上发表过论文；2、有较强的代码能力者优先，获得过acm或其他商业代码竞赛的荣誉，如acm区预赛金牌、noi银牌以上、百度之星决赛等，或代码开源在github上并有较大影响；3、有较强的比赛经验者或者在重要数据集的排行榜上排名靠前的优先，这些比赛包括但不限于imagenet、ms coco等相关竞赛，kaggle和ai challenger 等一些国内外商业比赛等；4、有较丰富的相关经验者优先，比如有一年以上在人工智能领域公司进行计算机视觉&机器学习方面实习或工作的经验，或来自国内外计算机视觉/机器学习/计算机图形学/数据挖掘等领域内知名实验室。"
1,40000,50000,职位要求      1、计算机、图像处理、模式识别、数学等相关专业硕士及以上学历，英文读写能力强      2、精通python、c++、matlab中至少一种编程语言，对数据结构和算法设计有较为深刻的理解      3、熟悉当前主流深度学习框架，有caffe、tensorflow开发经验优先      4、掌握常用机器学习算法以及有相关实践经验：分类算法，聚类算法，回归，协同过滤，降维，pattern检出，特征抽出等等      5、对人工智能感兴趣，能够吃苦耐劳，有一定统计分析基础知识      6、具备2年以上图像处理开发经验，对具有利用深度学习进行图像处理相关经验者优先      7、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情  工作职责      1、负责视频图像处理、图像识别、目标检测分析的算法设计、实现、验证；      2、分析、设计并实现图像特征表示方法、图像分类算法、图像自动语义挖掘算法，并对上述算法进行评测、分析与改进；      3、根据项目需求，负责设计部署深度学习算法数据处理、训练、推理过程的系统架构；      4、优化识别引擎、提高识别效率及成功率；
4,30000,60000,岗位职责：1、负责视频结构化和行为检测相关算法研究和实现；2、参与算法架构设计及其在各个平台的移植和优化；3、跟踪视频语义理解领域的前沿技术；任职要求：1、模式识别或者计算机视觉领域的研究生或者博士；2、数学基础扎实，英文阅读能力良好， 熟悉概率统计相关理论、深度网络框架体系和算法实现；3、熟悉 c/c++/python 编程；4、熟悉 caffe 或者 tensorflow，具备深度网络设计、调参和优化经验；5、具有目标检测/跟踪/语义分割/行为检测等实际项目经验者优先考虑；6、在cvpr、iccv等相关***学术会议期刊发表过相关论文者优先考虑；
5,30000,40000,"岗位要求：1.博士学历3名，硕士学历1名 2.扎实的数学功底； 3.有深度学习，计算机视觉较强研究或应用背景，熟悉常用方法（物体检测，跟踪，分类和识别）和工具（caffe,tensorflow等）  ； 4.熟悉c++/c/python语言。 5.对深度学习算法和硬件架构有深入的理解； 6有丰富的深度学习网络优化、裁剪、定点化知识和经验； 7.有丰富的面向硬件的算法开发、优化经验； 8.深刻理解大规模并行处理器架构设计； 9.有团队合作精神和良好的人际交往能力。工作职责： 1、和算法工程师合作开发出低复杂度、适合硬件实现的深度学习算法； 2、对深度学习网络进行一系列优化、裁剪、定点化，以减小复杂度并保持准确度；                                                         3、和fpga/芯片工程师合作开发出可编程深度学习硬件加速模块架构设计。"
6,30000,40000,1、硕士及以上学历，相关工作经验至少3年；计算机、电子、自动化以及相关专业；2、精通自然语言处理的相关技术；3、熟悉结构化学习方法（如序列标注（sequence labelling）、句法分析等）及文本分类/聚类算法；4、有分词、句法分析、篇章分析、语义分析、命名实体识别、关键词抽取、情感分析、文本分类/聚类、文本检索、机器翻译等方面的工作或研究经历；5、扎实的数据结构和算法设计基础，精通c/c 或者java编程，掌握perl/python等一门以上脚本语言；6、诚实、可靠、对工作要充满热情、较强的学习能力、团队精神、强烈的责任感；具有良好团队合作精神和沟通能力；
7,30000,40000,1、从事图像处理领域的算法研发，跟踪该领域的技术发展趋势，定期做该领域的前沿技术报告；2、设计能够解决应用需求的具体处理算法，根据项目需求，完成算法的设计、验证和优化；3、负责相关图像处理算法的代码实现、集成、测试与维护；4、根据要求分配任务给下属工程师，并能监督指导下属工程师的工作，提高团队成员的技术水平；（工程师无此项）5、撰写相关专利、高新技术项目申报等文档。岗位需求：1、计算机、电子工程、自动化、应用数学、信息处理等相关专业毕业，硕士研究生及以上学历，博士优先；2、2年以上工作经验，良好的数学背景，熟悉各类计算机视觉和模式识别算法，有工业缺陷检测项目经验者优先；3、精通c/c++编程，快速编程能力强；4、对算法研发有强烈的兴趣，熟悉opencv等开源库优先；5、熟悉工业缺陷检测行业，熟悉各种软硬件解决方案并能快速开发，熟悉halcon开发包优先；6、熟悉机器学习常用算法：决策树、随机森林、svm回归算法等，了解caffe、tensorflow神经网络框架。6、具有创新精神，学习能力强，英文读写能力强；7、具有良好的敬业精神、团队合作精神、沟通能力。
10,25000,50000,任职要求：1、负责视频图像处理、图像识别、目标检测分析的算法设计、实现、验证；2、分析、设计并实现图像特征表示方法、图像分类算法、图像自动语义挖掘算法，并对上述算法进行评测、分析与改进；3、根据项目需求，负责设计部署深度学习算法数据处理、训练、推理过程的系统架构；4、优化识别引擎、提高识别效率及成功率；   岗位描述：1、计算机、图像处理、模式识别、数学等相关专业硕士及以上学历，英文读写能力强2、精通python、c++、matlab中至少一种编程语言，对数据结构和算法设计有较为深刻的理解 3、熟悉当前主流深度学习框架，有caffe、tensorflow开发经验优先 4、掌握常用机器学习算法以及有相关实践经验：分类算法，聚类算法，回归，协同过滤，降维，pattern检出，特征抽出等等 5、对人工智能感兴趣，能够吃苦耐劳，有一定统计分析基础知识6、具备2年以上图像处理开发经验，对具有利用深度学习进行图像处理相关经验者优先 7、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情
14,25000,45000,工作职责：1.负责图像和视频方向的算法研究和开发；2.包括并不限于ocr，图像检索等方向。任职要求：1.模式识别，图像信号处理、计算机、通信、应用数学等计算机相关专业硕士及以上学历；2.在图像分割、分类、识别、检索等方面有深厚研究基础，熟练掌握计算机视觉和图像处理相关的基本算法及应用；3.熟悉python/c/c++/java 等一门或多门编程语言4.熟练掌握opencv等仿真工具，熟悉c/c++编程以及相应的可视化开发环境；5.有根据项目需求独立设计并实现有效算法的经验6.英文良好，有较强的文献阅读和算法实现能力；7.优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；8.在计算机视觉、模式识别等国际***会议或者期刊上发表论文、相关国际比赛获奖、及有相关专利者优先。
15,25000,45000,工作职责：1.负责基于nlp的传统规则及端到端学习方法的线上聊天机器人研发（chatbot not robot）;2.负责资讯文本相关的分析，包括不限于文本挖掘、主题分析、关键词提取、词义分析；3.使用机器学习的方法进行非结构化文本的特征提取，建立、测试、调优分析模型，识别文本的语言内容，文本间的相关度，词性标注等研究；4.参与搭建相关的机器学习 & 大数据计算平台；5.负责数据和业务的紧密集合。任职要求：1.计算机或相关专业本科及以上学历，3年以上工作经验，具备丰富的机器学习算法实践经验；2.熟悉python/c/c++/java 等一门或多门编程语言，有后台开发经验优先；3.良好的逻辑思维能力和数据敏感度，能从海量数据中发现有价值的规律；4.能够阅读英文技术文档和论文，具有良好的自学能力；5.工作积极主动，逻辑思维能力和沟通能力强。6.有以下领域之一经验优先1)算法并行实现相关经验；2)hadoop、spark、storm经验；3)机器学习/数据挖掘/信息检索/图像处理/贝叶斯/lr，深度学习和神经网络经验；4)有生物信息项目经验。
18,25000,40000,岗位主要职责：1 负责机器学习/深度学习等前沿技术跟踪与研究；2 负责机器学习/深度学习环境建设、模型的迭代学习与优化；3 负责图像识别算法的研发、更新以及其他工程优化；4 负责为公司的技术服务或产品提供算法咨询。岗位要求：1 计算机、信息处理、电子、数学等相关专业硕士及以上学历；2 精通图像处理领域理论知识，精通机器学习/深度学习领域的专业知识并熟悉深度学习技术最新发展趋势，熟练阅读相关英文论文和专利，善于学习，能快速熟悉新的算法并能动手实验验证；3 具备机器学习/深度学习相关算法的研究、开发和应用能力，具备扎实的c/c++编程基础，具备深度学习开源框架的使用经验；4 良好的沟通与协调能力，良好的团队合作意识，较强的责任感及和钻研精神；5 至少3年相关工作经验，有图像分类，目标检测，视频分析等研究成果者优先。
