l,r,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
10000,15000,岗位职责：？ 1、根据ui设计图将页面用小程序代码实现；？ 2、跟后端工程师协作完成页面的渲染和展示；？ 3、分析前端性能，发现问题并进行调优。任职要求：？ 1、本科以上学历，计算机相关专业毕业，1年以上微信小程序开发经验，工作踏实认真；？ 2、熟悉html5特性，了解html5最新规范，能够熟练运用html5特性构建pc端和移动端页面；？ 3、熟悉web前端的性能优化技巧，了解浏览器兼容以及自适应布局；？ 4、熟悉vuejs、angularjs、sencha touch、zeptojs、backbone、prototype等html5框架中的至少一种，有成熟的微信小程序项目经验者优先。,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
8000,15000,岗位职责：1）负责微信小程序的开发工作，熟悉微信平台接口及微信小程序功能研发；2）配合后端完成接口调试、独立开发微信小程序公用模块以及相关业务需求；3）根据业务需求，设计并实现技术解决方案；4）ui+web前端二合一者优先。岗位要求：核心技术：1、精通掌握前端开发技术（html、html5、css、css3、js），可熟练编写各种静态页面，做各种动态效果，代码合理、清晰、规范。2、熟练掌握vue技术栈、小程序技术栈、react技术栈，jquery。3、熟练掌握微信公众号和小程序开发。4、熟练掌握es5/es6原生js代码、dom结构，能够使用原生代码开发页面功能。5、熟练掌握html5各种特征，基本绘图，svg/canvas，能够完成各种丰富复杂的动静态网页布局。6、熟练掌握使用ajax与后端进行交互，渲染界面，并能进行调试。7、熟练掌握less/sass等css 预处理语言8、熟悉w3c标准，熟悉各主流浏览器和移动设备兼容性，能快速定位和解决各种兼容问题。有开发微信小程序，h5游戏的优先？？上班时间：9:00-18:00福利津贴：1、五险一金？？？？？？？？？？？？？？？ 2、全勤奖？？？？？？？？？？？？？？？ 3、绩效奖金？？？？？？？？？？？？？？？？？？？？？？？ 4、年底双薪？？？？？？？？？？？？？？？？？？？？？？？ 5、带薪假？？？？？？？？？？？？？？？？？？？？？？？ 6、每年多次调薪机会？？？？？？？？？？？？？？？？？？？？？？？ 7、每日享有下午茶福利？？？？？？？？？？？？？？？？？？？？？？？ 8、每年不定期公司旅游,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
10000,15000,"岗位职责：1、进行web前端/服务端设计与开发，参与项目的编程、调试和模块测试工作；2、负责公司研发工具类的开发工作；3、根据项目需求，能够独立按时完成网站开发任务。任职要求：1. 大学专科及以上学历，计算机专业优先；2. 熟练掌握java语言, 2年以上java设计开发的生产经验；3. 熟练使用 node.js/javascript，对常用框架和 node.js 的events/stream/net 等内部模块有实战经验；4. 熟练使用mysql、mongodb等数据库系统；5. 熟悉html、html5、div和css等技术，熟练编写网页代码和掌握js浏览器兼容性；6. 熟练使用git、svn等版本控制软件；7. 有优秀的代码设计能力，熟悉主要设计模式。",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
10000,14900,"岗位职责？？负责hcm产品前端开发工作 
 
 ？？？任职要求？？1、精通html5 的各类国际化开发技术规范？？2、熟练掌握java 基础知识，熟悉jsp、servlet、javabean、jdbc 等j2ee 方面的知识？？3、对struts、spring、hibernate 等开源框架有一定的了解，熟悉b/s 开发，熟悉tomcat、 

 weblogic 服务器？？4、熟悉oracle 数据库，掌握sql？？5、熟悉hr软件开发经验优先？6、工作积极主动认真踏实，具有强烈的责任心和良好的团队合作精神？？7、具有良好的学习素质，能够快速提高技术能力",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,20000,岗位要求：1.熟悉基于javascript、css、html5的web2.0应用设计开发，2.具备框架级开发经验和开发思想的优先，3.熟悉node vue react angular2等开源框架的优先。任职资格：1、大专以上学历，3年以上开发经验，具有扎实的计算机基础理论知识；？2、较强的沟通能力、领悟能力和逻辑思维能力 ？3、工作认真，细心，有条理；积极性高，求知欲强,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
15000,25000,"岗位职责：1.负责公司产品前端的开发与维护工作。2.对现有的前端框架进行扩展，负责样式和脚本的模块设计与优化。3.web前端前沿技术的研究，并应用到项目中以改善用户体验。职位要求：1.计算机或相关专业本科以上学历，2年以上工作经验。2.精通javascript，html5，css3，熟悉div+css页面架构与布局。 
3.精通jquery，zepto常用框架。4.熟练使用grunt，gulp，webpack。5.熟悉react框架和es6语法。6.必须有线上产品经验。7.对前端技术有持续的热情，个性乐观开朗，逻辑性强。",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
10000,15000,"？ ？1.本科计算机专业毕业优先，？ 2、熟悉javascript/ css主流前端类库，框架，如vue，backbone，requirejs, web pack等;+3、熟悉es6/htmucss3等新技术，对页面重构精通者优先;",0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10000,18000,岗位职责1、负责前端界面的构建，各类交互设计与实现；2、前端样式的模块化设计和优化；3、对具体产品进行性能优化，提高web加载、执行和渲染时间；4、负责解决产品在不同浏览器、移动设备端机不同版本下的兼容问题；5、与后台开发人员配合完成项目，完成上级交待的其它任务。任职资格1、统招本科以上学历；2、2年以上前端开发经验，熟悉页面布局和美工，js熟练优先；3、熟悉html，javascript，jquery，ajax，angularjs，css+div等前端技术。4、具有良好的团队合作精神，沟通表达能力良好，思路清晰；,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
10000,15000,"岗位要求：1、有一定前端基础，二年以上互联网web项目经验2、熟悉css、html5、javacript、ajax、jsp等web开发技术3、熟悉java语言，熟悉spring，springmvc,mybatis,hibernate等java开源框架。4、熟练使用vue、jquery、angular、reactjs等开源前端库中一种5、熟悉boostrap、bui等ui组件6、熟练使用常用数据库mysql7、学习能力和领悟能力强，善于沟通，逻辑思维清晰8、对外包形式的工作方式认可优先条件：1、了解dom树，了解xpath2、熟悉前端页面布局，能持续优化高性能、功能清晰、易用的前端界面，提高现有页面的安全与用户体验3、能使用linux环境，理解常见的数据结构（表，树，图等）的存储形式和遍历算法，有大数据展示相关经验优先4、有运营管理系统的开发经验者优先5、有h5开发经验优先",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
9000,12000,"1）熟悉前端页面设计，根据需求产出产品原型图，根据视觉设计重构前端页面；2）维护现有产品，分析并给出前端优化的解决方案；3） 编写可复用的用户界面组件；4）协助后台程序员完成系统联调；1）本科以上学历，3年以上前端开发经验，javascript,jsp开发工作经验；2）熟悉jquery，angular,reactjs,vue等开源前端库中一种，熟悉boostrap、bui等ui组件,了解freemarker、velocity等后端模板引擎3）熟悉前端页面布局，能开发高性能、功能清晰前端界面，提高现有页面用户体验；4）熟悉spring，springmvc,mybatis,hibernate等java开源框架；熟悉一定后台数据库开发；5）学习能力和领悟力强，善于沟通、逻辑思维清晰；6）具备互联网金融行业开发经验优先；",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
