"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",1,3,2,4,4,9,2,4,3,2,1,6,4,1,2,2,3,1,3,1,1,2,3,3,4,2,4,3,1,5,4,3,1,3,1,2,1,4,4,2,3,1,4,2,3,5,1,5,1,2,25,4,3,2,1,3,3,2,4,2,3,2,4,2,1,3,1,1,4,4,2,1,1,4,6,5,9,3,2,4,7,1,4,1,3,1,2,2,4,1,4,2,2,1,5,7,2,6,1,1,1,4,2,3,3,4,3,1,3,3,2,2,4,2,3,3,11,3,3,1,1,2,2,1,2,1,1,2,1,4,3,2,2,2,2,4,3,1,2,1,3,2,7,1,1,1,1,2,3,3,1,1,6,3,2,2,41,5,1,1,1,2,5,1,1,1,2,2,3,70,4,5,3,2,5,2,3,5,1,4,2,2,3,4,4,1,3,8,6,2,1,4,2,3,1,1,2,1,2,2
"2",2,1,1,2,3,1,4,1,2,1,3,2,5,2,1,1,1,5,4,3,3,1,1,1,1,1,2,5,4,1,1,4,2,1,2,1,2,3,6,1,4,3,1,1,2,2,8,2,2,1,1,1,1,1,2,2,1,1,1,4,1,1,2,4,2,4,2,2,1,2,3,4,2,1,1,3,2,5,4,1,3,2,1,2,5,3,1,4,2,4,3,1,1,2,1,1,3,5,3,2,2,2,1,1,1,2,2,2,4,1,3,1,2,1,4,1,1,5,4,2,2,1,1,2,7,2,3,1,2,2,2,5,1,1,1,1,1,3,3,2,5,1,6,2,4,3,3,1,6,1,2,2,1,6,3,1,1,1,2,3,2,1,4,4,2,4,11,1,4,1,3,4,5,3,1,5,1,2,4,2,1,4,4,2,3,6,1,1,1,5,2,1,1,1,4,3,4,2,1,1
"3",3,68,6,5,6,2,5,2,4,6,14,5,7,5,3,6,8,6,5,4,4,36,2,4,6,4,3,1,128,3,2,5,3,5,5,9,4,5,3,3,2,5,7,4,6,4,7,3,15,3,3,5,6,7,5,10,34,3,2,1,15,3,5,6,5,13,4,3,5,3,4,5,3,2,5,1,3,7,8,3,4,4,8,4,70,2,4,3,69,5,10,3,3,4,3,3,212,18,4,4,4,14,3,8,4,10,5,10,65,5,8,5,3,3,2,2,2,2,5,4,31,4,10,5,8,27,6,3,3,5,4,4,335,6,4,5,2,61,5,3,6,4,2,4,3,2,2,5,4,4,5,4,9,4,20,3,3,3,8,4,217,6,3,35,6,2,103,4,7,5,5,87,4,9,3,20,219,3,5,5,57,3,16,10,1,4,2,2,5,4,385,3,3,2,3,4,31,3,5,3
"4",4,4,4,3,1,6,3,5,1,4,4,1,1,4,4,3,6,3,1,6,5,5,10,2,3,5,1,6,2,4,3,2,4,7,4,3,3,2,1,6,6,4,2,5,4,3,3,4,3,9,2,2,5,6,3,4,5,5,3,6,4,4,3,8,3,1,17,5,3,9,5,3,6,5,2,10,4,1,3,10,1,8,12,5,2,5,5,5,30,3,2,5,5,3,4,5,5,7,5,5,3,3,4,4,2,3,1,28,1,4,4,3,51,8,10,5,4,1,2,3,4,3,4,4,3,3,55,5,4,3,5,3,4,4,5,2,8,4,6,5,4,3,5,10,2,5,6,4,1,7,3,5,2,2,6,5,2,7,5,2,5,4,2,2,3,15,1,49,1,2,1,1,2,12,2,1,6,1,3,3,6,5,2,3,10,2,5,3,52,1,7,2,4,180,7,5,5,4,3,57
"5",25,2,3,1,2,4,1,3,58,3,2,4,2,3,5,4,2,4,2,2,2,12,4,5,2,3,5,2,3,2,5,1,5,2,3,4,5,1,2,4,5,2,3,3,1,1,2,1,5,4,9,3,2,5,4,1,2,4,6,3,2,5,1,1,4,2,7,4,2,1,1,2,5,3,3,2,1,2,1,2,2,5,2,3,1,4,3,1,1,2,1,4,4,12,2,2,1,1,2,3,5,1,6,2,5,1,4,30,2,2,1,4,1,5,1,4,3,4,1,5,3,5,3,3,4,6,2,4,5,1,1,1,3,5,3,3,6,2,1,4,2,5,13,3,5,4,4,6,2,2,4,3,14,1,1,4,4,2,4,5,3,3,1,3,4,3,3,3,2,3,2,2,1,1,4,3,2,4,2,1,3,1,1,1,2,3,4,6,2,3,5,6,5,5,2,2,3,99,4,4
"6",2,3,4,4,16,8,2,6,1,1,1,8,6,1,2,2,3,1,2,1,1,2,3,3,6,2,4,3,1,5,36,4,1,3,1,2,1,4,4,1,3,1,3,1,3,4,3,5,1,2,40,4,3,2,1,1,3,2,2,1,3,3,5,3,1,2,1,1,5,4,1,2,1,4,18,7,33,3,2,4,12,2,2,1,1,1,1,2,16,2,5,2,2,1,5,7,1,33,1,1,1,9,1,2,3,4,3,1,3,3,2,1,3,2,2,3,10,4,3,1,2,2,2,2,1,1,1,2,1,2,4,2,2,3,2,4,2,1,2,1,2,2,7,2,1,1,2,2,3,2,1,1,11,3,2,1,111,15,1,2,1,1,5,1,1,1,1,2,4,90,3,6,3,1,5,2,3,6,1,4,2,2,6,5,4,1,2,5,7,3,1,4,2,2,1,1,1,1,2,2
"7",1,1,2,2,20,1,4,1,2,2,2,2,4,2,1,1,1,7,5,3,4,1,1,2,1,3,2,4,4,1,1,5,2,1,2,1,2,3,9,3,6,3,1,2,2,1,12,2,2,1,1,1,2,1,2,4,1,1,1,4,1,1,1,8,2,7,2,2,1,2,3,4,2,1,1,3,3,4,4,1,3,1,1,2,4,2,2,4,2,10,2,1,1,2,1,1,3,4,3,2,2,2,2,1,1,2,2,2,9,1,4,2,2,1,4,1,1,9,4,2,1,1,1,1,9,2,4,1,2,5,1,5,1,1,1,1,1,3,3,2,5,1,12,1,6,2,1,1,9,1,2,2,1,7,3,2,1,2,2,3,2,3,4,4,3,4,63,1,5,2,4,11,6,4,1,4,1,3,2,2,1,4,5,2,2,4,1,2,1,5,2,1,1,1,4,2,4,2,1,1
"8",3,35,5,5,9,2,5,2,4,6,6,5,9,5,3,4,7,9,4,4,3,136,2,4,4,4,3,1,28,2,2,20,3,14,8,27,4,6,3,2,1,5,14,4,5,3,6,6,21,3,4,6,8,15,4,34,36,4,3,2,46,5,3,5,7,91,3,3,4,3,4,21,3,2,5,2,2,10,12,3,5,3,26,6,51,3,4,3,186,1,14,3,4,3,4,3,85,14,4,4,4,8,3,18,6,66,4,20,31,5,28,4,4,3,3,2,3,2,6,4,32,6,29,3,10,33,13,3,4,6,5,4,322,16,3,5,3,19,5,3,7,4,3,5,4,3,3,5,7,3,8,4,16,4,10,3,6,1,10,4,396,6,3,86,8,3,286,5,9,15,7,69,4,6,4,5,260,4,5,7,223,3,51,11,1,2,4,1,5,4,166,3,3,3,3,4,31,4,10,3
"9",5,4,3,3,1,11,3,4,3,4,4,1,1,4,4,6,5,3,3,5,5,10,46,1,3,5,1,14,3,4,3,2,4,11,4,3,3,1,1,8,7,4,2,5,4,5,1,3,3,20,2,2,4,4,3,3,9,8,4,23,4,2,4,2,3,3,36,6,3,31,5,3,74,5,2,26,4,1,3,17,1,4,44,5,2,5,5,10,119,5,3,4,5,7,2,6,5,25,5,6,3,3,4,4,2,3,1,110,1,4,6,3,155,22,11,9,8,1,2,3,5,3,5,5,3,5,82,8,3,3,13,3,7,2,6,2,12,17,11,16,4,3,2,27,2,5,14,3,1,30,3,7,2,1,26,6,2,6,3,1,26,4,2,2,2,50,2,144,1,1,1,1,2,7,2,1,29,1,4,3,6,5,2,3,18,3,5,6,22,1,13,2,4,87,12,5,5,9,3,78
"10",96,2,1,1,2,5,1,3,71,3,3,4,2,3,10,24,2,4,1,2,2,37,4,6,2,1,5,2,2,3,17,1,6,2,3,4,5,2,2,10,5,2,4,3,1,2,2,1,10,4,6,3,1,3,7,2,2,3,15,3,2,6,2,1,4,1,21,4,2,1,2,1,19,3,3,1,1,2,1,2,2,19,3,3,3,4,3,1,1,3,1,5,3,41,3,2,2,1,2,3,8,1,28,3,11,1,7,63,2,2,1,6,1,6,1,4,2,5,1,5,3,5,4,4,4,28,2,4,8,1,2,1,4,13,4,3,5,7,1,4,1,5,19,3,5,4,5,6,2,4,4,3,37,2,1,5,4,3,4,6,3,2,1,3,19,2,3,3,2,16,2,2,1,2,3,3,2,2,3,1,3,1,1,1,3,7,3,9,4,2,7,6,5,5,2,3,2,185,4,4
