"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",6,2,3,16,263,21,7,1,67,6,1,3,16,3,1,4,1,5,1,1,3,6,5,1,7,50,4,431,2,12,1,3,6,5,3,681,5,1,5,3,10,2,2,2,221,4,9,3,28,1,1,3,32,3,2,5,5,2,173,3,1,81,2,4,3,3,4,1,384,3,1,2,2,24,4,21,4,4,69,9,2,4,2,4,2,2,1,2,29,4,1,3,5,1,1,3,4,2,344,843,5,6,236,1,70,72,2,1,2,7,1,1,75,2,40,2,2,10,131,2,1,3,199,3,3,121,3,1,1,6,2,3,1,3,207,1,44,2,2,2,30,8,2,16,425,186,2,4,2,1,1,2,3,1,38,2,3,7,5,19,3,3,491,5,4,3,4,5,10,66,6,888,2,532,6,1,1,7,3,5,2,2,1,24,1,4,421,2,1,4,4,47,1,1,296,2,9,1,4,3
"2",1,7,1,1,570,2,2,3,3,1,2,70,2,1,2,3,3,1,2,8,4,391,2,85,2,1,252,19,1,2,5,2,10,2,23,13,2,2,2,10,3,1,1,1,1,1,230,26,3,482,3,2,27,1,4,392,2,119,133,22,3,1,3,2,1,1,1,4,4,1,4,3,1,3,1,2,6,25,3,4,1,2,3,1,1,1,5,7,2,10,38,2,1,3,3,1,1,3,3,2,3,1,1,2,3,11,3,2,3,4,3,7,12,1,342,1,1,71,3,1,483,1,3,2,1,2,2,21,40,2,5,1,383,2,3,3,1,3,1,3,2,1,3,3,12,3,3,2,1,2,2,5,4,44,3,78,2,1,1,3,1,2,1,4,1,2,19,2,17,2,5,7,22,1,1,4,7,1,198,7,47,34,45,17,2,3,42,1,2,1,3,2,4,3,1,63,3,3,2,2
"3",2,1,2,40,4,4,1,26,4,3,6,26,1,15,475,2,2,2,3,25,5,27,1,3,3,3,3,1,24,1,2,7,68,1,4,53,1,3,1,2,4,3,6,6,154,3,1,1,62,2,207,1,1,6,3,31,3,160,2,29,2,3,172,3,2,10,3,5,1,5,3,186,11,104,3,1,3,3,2,2,4,7,1,2,3,3,2,3,3,114,3,4,2,2,4,2,2,1,2,3,4,3,3,14,9,2,4,194,1,2,2,2,85,5,3,6,10,518,5,3,2,2,1,24,2,10,21,3,2,811,1,2,561,1,66,2,4,1,3,527,31,2,1,27,235,2,18,1,4,5,3,12,115,4,5,3,4,644,2,6,24,1,718,1,53,4,1,3,1,1,3,3,42,4,3,5,42,6,1,1,3,609,95,5,3,1,112,6,3,2,1,6,2,68,4,12,2,639,1,159
"4",4,4,5,2,2,29,3,44,2,2,3,2,8,4,80,11,5,3,4,2,2,40,13,4,4,653,1,2,7,31,459,82,1,3,1,1,7,14,3,4,2,38,14,3,2,231,2,2,1,93,2,4,3,4,1,1,1,1,1,2,4,4,1,1,157,2,2,2,2,2,294,1,3,2,2,5,1,1,1,3,3,1,8,3,53,4,52,15,1,2,2,5,64,279,2,4,3,9,1,1,2,51,8,3,2,1,1,21,26,1,4,3,2,3,1,4,311,1,2,4,16,16,430,1,4,1,1,2,4,1,3,4,147,4,2,55,5,14,5,1,120,14,29,2,2,387,1,18,7,6,4,4,1,2,2,1,10,2,4,2,4,84,13,2,2,1,569,1,2,5,1,1,1,2,2,3,2,2,64,44,145,751,2,1,74,2,2,4,38,10,5,1,195,50,60,3,30,15,120,8
"5",3,3,30,327,1,1,5,2,1,4,4,1,24,2,27,1,4,4,7,3,1,5,501,2,1,2,2,29,331,97,756,1,2,4,2,2,56,7,4,1,1,169,53,5,8,2,3,84,2,3,4,18,2,2,7,2,309,139,3,1,242,24,4,7,4,18,46,3,3,4,2,4,14,1,5,41,2,2,4,1,5,5,6,6,4,23,3,1,26,1,27,1,3,6,79,6,12,4,5,59,1,2,2,4,1,3,93,110,4,6,40,4,1,4,2,3,27,2,1,80,3,28,2,79,7,3,255,31,3,4,4,14,56,7,1,4,2,4,4,4,1,353,9,1,1,1,10,67,3,95,8,1,2,3,1,197,1,324,3,1,2,4,25,3,3,8,2,4,3,4,2,2,54,42,9,2,3,3,2,2,1,1,3,8,9,5,1,3,794,3,2,3,3,2,24,1,1,2,88,1
"6",4,2,3,8,103,23,6,1,80,8,1,3,18,3,1,4,1,5,1,1,3,6,13,1,11,23,5,306,6,13,1,3,14,5,3,650,14,1,5,2,7,2,2,3,82,5,6,3,46,1,1,3,25,3,2,5,4,2,120,3,1,181,2,12,3,6,4,2,291,3,1,3,2,51,4,10,5,4,26,18,2,6,2,4,2,2,1,2,27,5,1,3,5,1,1,2,4,2,410,623,5,13,365,2,104,106,2,1,2,20,1,1,96,2,111,2,3,22,198,2,1,3,397,3,2,155,3,1,1,7,2,3,1,2,260,1,77,2,2,2,65,10,2,42,558,107,2,3,2,1,1,3,3,1,56,2,3,27,5,20,3,2,594,10,14,3,10,5,7,26,7,765,3,571,35,1,1,8,4,7,2,2,1,31,1,4,520,2,1,5,5,83,1,1,267,2,7,2,4,3
"7",1,13,1,3,488,2,2,3,3,2,2,57,2,2,2,3,3,2,2,5,4,410,2,71,2,2,311,71,2,2,8,2,25,2,42,19,2,2,3,19,3,1,1,1,1,1,209,28,3,365,5,2,47,1,4,394,2,180,272,38,3,1,3,2,2,2,1,4,5,2,5,2,1,3,1,2,6,114,4,4,1,2,3,1,1,1,10,5,2,31,92,2,1,2,3,1,1,3,4,2,3,1,1,1,8,23,3,2,3,9,3,21,10,1,363,1,1,82,4,1,417,1,3,2,1,2,2,47,18,3,5,1,336,4,4,3,1,3,1,4,5,1,3,3,15,3,3,2,1,2,2,25,4,85,3,149,2,1,1,3,1,3,1,3,1,2,36,2,39,2,5,7,27,1,1,5,8,1,237,11,24,34,157,38,2,3,15,1,2,1,3,2,4,3,1,174,3,3,2,2
"8",2,1,2,87,5,7,1,62,6,3,6,46,1,9,452,2,2,1,3,26,6,81,1,3,3,3,3,1,34,1,3,18,89,1,5,33,1,4,1,3,4,3,12,10,114,3,1,1,89,2,144,1,2,6,3,49,3,125,2,37,2,4,58,4,1,19,3,5,1,5,3,230,14,174,3,1,4,3,2,2,4,12,1,2,4,3,2,4,3,63,3,5,2,4,4,3,3,1,2,3,4,4,4,8,17,2,6,251,1,6,2,3,111,6,3,10,9,617,11,7,3,2,1,71,3,24,24,3,2,907,1,2,593,1,80,2,3,1,5,395,51,2,1,36,235,2,35,1,4,11,3,19,103,5,5,4,6,661,4,5,14,1,423,1,37,4,1,3,1,1,3,3,72,7,4,4,23,6,1,1,3,565,131,3,3,1,106,5,3,2,1,7,2,59,49,89,2,589,1,193
"9",6,3,4,2,2,36,3,45,2,1,3,2,5,4,73,8,5,3,4,2,2,69,14,5,5,439,1,2,9,10,589,100,1,3,1,1,9,25,2,4,2,32,3,2,2,206,2,2,1,38,2,4,3,5,1,1,1,1,1,2,6,3,1,1,282,1,2,1,2,1,462,1,3,2,2,4,1,1,1,3,3,1,9,3,20,4,37,34,1,2,2,4,18,338,2,4,2,4,1,1,2,52,10,3,2,1,1,9,37,1,4,2,2,3,2,8,282,1,1,3,35,15,360,1,6,1,1,2,4,1,4,4,102,3,2,59,4,17,4,1,67,14,56,2,2,256,1,37,14,4,4,9,1,2,2,1,15,2,8,2,4,48,18,2,2,1,561,1,2,6,2,1,1,2,2,3,2,2,37,92,206,651,2,1,96,2,2,4,30,24,4,1,278,111,30,3,20,23,111,7
"10",3,4,35,228,1,1,10,2,1,4,4,1,14,1,48,1,4,4,12,3,1,10,360,2,1,1,2,37,314,97,810,1,3,4,2,2,25,7,4,1,1,124,28,5,18,2,3,224,2,3,4,12,1,2,9,2,339,37,6,1,301,72,6,3,4,81,56,3,3,4,2,4,16,1,5,54,2,2,6,1,5,4,5,5,3,52,3,1,87,1,30,1,3,7,63,8,5,5,12,45,1,2,2,9,1,3,130,178,4,4,31,6,1,4,1,5,14,2,2,62,2,50,2,74,5,3,68,33,3,4,3,12,46,15,1,4,2,7,3,5,1,522,7,1,1,1,18,150,3,111,5,1,2,3,1,156,1,341,3,1,2,5,64,4,3,15,2,4,3,3,1,2,70,70,32,2,3,3,2,2,1,1,4,6,10,6,1,3,801,4,2,4,3,2,103,1,1,1,112,1
